,Brand,Original_price,Discount_price,Camera,Pixels,WiFi Connectivity,Discount,Ratings
360,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
361,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
362,OLYMPUS,"74,990","₹65,991",DSLR Camera,16,Yes,12,
363,dji,"44,990","₹35,990",,16,No,20,4.4
364,FUJIFILM,"16,999","₹12,499",,,No,26,4.5
365,IC,"1,967",₹899,Spy CameraHD CameraSpy Camera,1080,No,54,3.3
366,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
367,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
368,Clubics,"9,999","₹2,999",WiFi Camera,,Yes,70,
369,DRONE,"9,999","₹2,499",Hd Camera,,No,75,
370,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
371,Toyrist,"5,999","₹2,099",With Camera,,No,65,
372,SJCAM,"15,000","₹7,799",,14,No,48,3.9
373,TFG,"1,449",₹892,,12,No,38,3.3
374,Drone,"9,999","₹2,999",,,No,70,
375,NIKON,"1,06,495","₹89,990",Mirrorless Camera,21,Yes,15,4.7
376,BSK,"5,100","₹1,617",Action CameraAction Camera,16,No,68,
377,Qiwa,"9,999","₹8,428",Action CameraAction Camera,12,Yes,15,
378,DRONE,"9,999","₹2,499",,,No,75,
379,FUJIFILM,"10,999","₹9,499",,,No,13,4.4
380,FUJIFILM,"5,99","₹5,795",,,No,93,4.3
381,AD,"4,999","₹1,899",Baby CameraAction Camera,12,No,62,
382,Drone,"9,999","₹2,999",avec Camera,,No,70,
383,OLYMPUS,"59,990","₹52,999",DSLR Camera,12,Yes,11,
384,TFG,"1,300",₹892,,12,No,31,3.1
385,Exxelo,"7,000","₹1,709",Dash CameraVideo CameraAction Camera,16,No,75,3.5
386,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
387,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
388,Suroskie,"2,500","₹1,259",Action CameraAction Camera,12,No,49,2.9
389,FUJIFILM,"2,74,998","₹1,89,990",Mirrorless Camera,26,Yes,30,4.4
390,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
391,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
392,Swa,"8,999","₹2,799",,,No,68,
393,Swa,"8,999","₹2,799",,,Yes,68,
394,Drone,"9,999","₹2,999",WiFi Camera,,Yes,70,
395,TFG,"2,099","₹1,189",Action CameraWaterproof Camera,12,No,43,3.3
396,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
397,DAHUA,"6,999","₹1,755",Action CameraAction Camera,20,No,74,
398,FUJIFILM,"1,54,999","₹1,15,990",Mirrorless Camera,26,Yes,25,4.4
399,Qaz,"3,999","₹1,172",,12,No,70,3.5
400,Garundropsy,"6,199","₹2,329",Action CameraAction Camera,16,No,62,3
401,SROPX,"2,499",₹799,Spy Camera,12,No,68,
402,WINDCOMM,"3,999","₹1,619",Action CameraSport Camera,12,No,59,
403,Swa,"8,999","₹3,399",With Camera,,No,62,
404,NIKON,"94,495","₹84,599",Mirrorless Camera,20,Yes,10,4.3
405,Drone,"9,999","₹2,999",Dual Camera,,No,70,
406,PICSTAR,"11,999","₹6,999",HD Camera,,No,41,
407,NIKON,"2,56,995","₹2,25,990",Mirrorless Camera,25,Yes,12,
408,First,"2,999","₹1,199",Action CameraWaterproof Camera,12,No,60,
409,Bzrqx,"2,899",₹699,Spy CameraHidden Camera,12,Yes,75,2.3
410,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
411,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
412,Cubonic,"2,999","₹1,999",,18,No,33,3.7
413,TFG,"1,649","₹1,189",,12,No,27,3.2
414,AUSHA,"3,999","₹2,499",,16,No,37,
415,Drone,"9,999","₹2,999",With Camera,,No,70,
416,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
417,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
418,First,"2,999","₹1,199",Action Camera,12,No,60,2.3
419,VOLTAC,"5,999","₹3,999",,16,No,33,
420,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
421,Akaso,"23,999","₹9,699",,20,No,59,3.8
422,Garundropsy,"6,199","₹2,296",,12,No,62,
423,ZEDY,"7,000","₹1,619",,32,No,76,2.8
424,HomeEye,"3,499",₹840,Video CameraSecurity CameraAction Camera,2,No,75,
425,Elevea,"6,999","₹2,699",Action Camera,12,Yes,61,
426,AD,"4,999","₹1,899",Baby CameraAction Camera,12,No,62,
427,Drone,"9,999","₹2,999",Dual Camera,,No,70,
428,NIKON,"2,94,99","₹2,66,999",Mirrorless Camera,45,Yes,59,4
429,AVOIHS,"2,000",₹899,Toy Camera,8,No,55,4.7
430,DRONEBOX,"9,999","₹2,877",GPS Camera,,No,71,3.4
431,TechKing,"7,999","₹2,599",Dual Camera,2,No,67,
432,Enfogo,"7,000","₹1,717",,16,No,75,
433,Drone,"9,999","₹2,999",A Camera,,Yes,70,
434,Drone,"9,999","₹2,999",,,No,70,
435,CALLIE,"6,999","₹1,504",,16,No,78,3.2
436,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
437,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
438,Canon,"1,24,995","₹99,999",DSLR Camera,20,No,19,4.1
439,Exxelo,"4,999","₹2,599",Vehicle CameraAction Camera,16,No,48,4
440,AD,"4,999","₹1,899",Baby CameraAction Camera,12,No,62,
441,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
442,Drone,"9,999","₹2,999",WiFi Camera,,Yes,70,
443,Drone,"9,999","₹2,999",WiFi Camera,,Yes,70,
444,SONY,,,Mirrorless Camera,24,Yes,,
445,Rhobos,"6,999","₹4,299",Print Camera,12,No,38,
446,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
447,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
448,OLYMPUS,"2,59,990","₹1,74,990",DSLR Camera,20,Yes,32,
449,Avyana,"1,999","₹1,199",,12,No,40,2.8
450,ALA,"1,788","₹1,130",,12,No,36,2.7
451,Insta360,"49,990","₹36,990",,9,No,26,
452,SROPX,"2,999",₹799,,12,No,73,3.2
453,Qaz,"3,999","₹1,169",Action Camera,12,No,70,2.1
454,Clubics,"9,999","₹2,999",WiFi Camera,,Yes,70,
455,FUJIFILM,"10,999","₹9,499",,,No,13,4.4
456,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
457,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
458,Panasonic,"89,990","₹74,990",Mirrorless Camera,16,Yes,16,4.7
459,First,"2,999","₹1,199",Action CameraWaterproof Camera,12,No,60,
460,AD,"4,999","₹1,899",Baby CameraAction Camera,12,No,62,
461,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
462,Whelked,,,Action CameraAction CameraSport Camera,16,No,,2.9
463,Drone,"9,999","₹2,999",With Camera,,No,70,
464,FUJIFILM,"8,999","₹6,999",,,No,22,4.3
465,SIOVS,"2,999","₹1,599",Charger Camera,12,No,46,
466,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
467,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
